Path,Model,Accuracy,Fuzzy Accuracy,Position Agnostic Accuracy,Vending Machine Type,On Angle,Incorrect Brands,Correct Brands,Fuzzy Correct Brands,Fuzzy Incorrect Brands,Brand Matrix,Parametrized
../photosv2/711_Sodas_Stickers.png,GPT-4,0.0363636363636363,0.109090909090909,0.3333333333333333,correctBrands8,TODO,"{'Unknown', 'Dr Pepper', 'Minute Maid', 'Dasani', 'Coca-Cola', 'Mountain Dew', 'Pepsi', 'A&W', 'Fanta'}","{'Sprite', 'Pepsi'}","{'Dasani', 'Sprite', 'Coca-Cola', 'Pepsi', 'Fanta'}","{'Unknown', 'Dr Pepper', 'Minute Maid', 'Dasani', 'Coca-Cola', 'Mountain Dew', 'Pepsi', 'A&W'}","[['Sprite', 'Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Unknown'], ['A&W', 'Dasani', 'Mountain Dew', 'Mountain Dew', 'Mountain Dew'], ['Mountain Dew', 'Pepsi', 'Dasani', 'Pepsi', 'Pepsi'], ['Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Coca-Cola'], ['Coca-Cola', 'Fanta', 'Minute Maid', 'Coca-Cola', 'Dr Pepper'], ['Mountain Dew', 'Pepsi', 'Pepsi', 'Pepsi', 'Coca-Cola']]",False
../photosv2/711_Sodas.png,GPT-4,0.3061224489795918,0.4897959183673469,0.4285714285714285,correctBrands9,TODO,"{'Unknown', 'BODYARMOR', 'Powerade', 'Gatorade', 'Electrolit'}","{'Gatorade', 'Electrolit'}","{'Powerade', 'Gatorade', 'BODYARMOR', 'Electrolit'}","{'Unknown', 'BODYARMOR', 'Gatorade', 'Electrolit'}","[['Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Electrolit', 'Electrolit', 'Electrolit'], ['BODYARMOR', 'BODYARMOR', 'BODYARMOR', 'BODYARMOR', 'Unknown', 'Unknown', 'Unknown'], ['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown'], ['Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade'], ['Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade'], ['Powerade', 'Powerade', 'Powerade', 'Powerade', 'Powerade', 'Powerade', 'Powerade']]",False
../photosv2/drinks2.png,GPT-4,0.7142857142857143,0.7857142857142857,0.4761904761904761,correctBrands1,TODO,"{'Fugu Vodka Mule', 'Bloody Mary', 'Unknown', 'Coca-Cola'}","{'Unknown', '7UP', 'Pabst Blue Ribbon', 'Guinness', 'Boylan', 'Lone Star', 'Poland Spring', 'Mango Mosaic', 'Aunt Sally', 'House Wine'}","{'Unknown', '7UP', 'Pabst Blue Ribbon', 'Guinness', 'Boylan', 'Lone Star', 'Poland Spring', 'Mango Mosaic', 'Coca-Cola', 'Aunt Sally', 'House Wine'}","{'Unknown', 'Bloody Mary', 'Fugu Vodka Mule'}","[['Coca-Cola', '7UP', 'Unknown', 'Pabst Blue Ribbon', 'Bloody Mary', 'Fugu Vodka Mule', 'House Wine'], ['Aunt Sally', 'Guinness', 'Lone Star', 'Unknown', 'Mango Mosaic', 'Poland Spring', 'Boylan'], ['Schweppes', 'Schweppes', 'Canada Dry', 'Red Bull', 'S.Pellegrino', 'Unknown', 'Red Stripe']]",False
../photosv2/Jasons_Water.png,GPT-4,0.1,0.4,0.1176470588235294,correctBrands11,TODO,"{'Unknown', 'LIFEWTR', 'Poland Spring', 'FIJI', 'PATH', 'smartwater', 'ACTIVIA'}","{'Liquid Death', 'Poland Spring'}","{'Poland Spring', 'FIJI', 'ACTIVIA', 'smartwater', 'Liquid Death'}","{'Unknown', 'LIFEWTR', 'Poland Spring', 'FIJI', 'PATH', 'smartwater'}","[['FIJI', 'Unknown', 'Unknown', 'Liquid Death', 'Poland Spring', 'Poland Spring'], ['Unknown', 'Unknown', 'Unknown', 'Poland Spring', 'LIFEWTR', 'smartwater', 'PATH'], ['smartwater', 'smartwater', 'smartwater', 'FIJI', 'FIJI', 'Unknown', 'ACTIVIA'], ['Poland Spring', 'Poland Spring', 'Poland Spring', 'Poland Spring', 'Poland Spring', 'Poland Spring']]",False
../photosv2/711_Juice.png,GPT-4,0.1964285714285714,0.1964285714285714,0.3,correctBrands7,TODO,"{'Unknown', 'ITO EN', 'Guayaki', 'Pure Leaf'}","{'Unknown', 'ITO EN', 'Pure Leaf'}","{'Unknown', 'ITO EN', 'Pure Leaf'}","{'Unknown', 'ITO EN', 'Guayaki', 'Pure Leaf'}","[['Unknown', 'Unknown', 'Guayaki', 'Guayaki', 'Guayaki', 'Guayaki', 'Guayaki'], ['ITO EN', 'ITO EN', 'ITO EN', 'ITO EN', 'ITO EN', 'ITO EN', 'ITO EN'], ['Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf'], ['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown'], ['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown'], ['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']]",False
../photosv2/711_Beer.png,GPT-4,0.2,0.28,0.4117647058823529,correctBrands6,TODO,"{'Unknown', 'Lagunitas', 'Bud Light Lime', 'Bud Light Platinum', 'Pabst Blue Ribbon', ""Milwaukee's Best Ice"", 'Budweiser', 'Natural Ice', 'High Life', 'Great Lakes', 'Allagash', 'Brooklyn Lager'}","{'Bud Light', 'Great Lakes', 'Unknown', 'Blue Point'}","{'Unknown', 'Blue Point', 'Bud Light', 'Budweiser', 'Great Lakes', 'Brooklyn Lager'}","{'Unknown', 'Lagunitas', 'Bud Light Lime', 'Pabst Blue Ribbon', ""Milwaukee's Best Ice"", 'Budweiser', 'Natural Ice', 'High Life', 'Great Lakes', 'Allagash', 'Bud Light Platinum'}","[['Blue Point', 'Unknown', 'Unknown', 'Brooklyn Lager'], ['Unknown', 'Lagunitas', 'Great Lakes', 'Great Lakes', 'Allagash'], ['Budweiser', 'Bud Light Lime', 'Bud Light Platinum', 'Bud Light'], ['Budweiser', 'Bud Light', 'Pabst Blue Ribbon', 'Pabst Blue Ribbon'], ['Natural Ice', 'Natural Ice', ""Milwaukee's Best Ice"", ""Milwaukee's Best Ice"", 'High Life', 'High Life']]",False
../photosv2/IMG_2623.png,GPT-4,0.6111111111111112,0.7222222222222222,0.3,correctBrands2,TODO,"{'Lemonade', 'Unknown', 'Snapple'}","{'Starbucks', 'Gatorade', 'Pure Leaf'}","{'Starbucks', 'Snapple', 'Pure Leaf', 'Gatorade'}","{'Lemonade', 'Unknown', 'Snapple'}","[['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Starbucks', 'Starbucks', 'Starbucks', 'Starbucks'], ['Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf'], ['Snapple', 'Snapple', 'Snapple', 'Snapple', 'Lemonade', 'Lemonade', 'Snapple', 'Snapple', 'Snapple'], ['Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade'], ['LIFEWTR', 'LIFEWTR', 'LIFEWTR', 'LIFEWTR', 'Aquafina', 'Aquafina', 'Aquafina', 'Aquafina', 'Aquafina']]",False
../photosv2/Jasons_Beer.png,GPT-4,0.2666666666666666,0.2666666666666666,0.625,correctBrands10,TODO,"{'Unknown', 'Angry Orchard', 'Fat Tire', 'Sierra Nevada', 'Yuengling', 'Voodoo Ranger'}","{'Unknown', 'Sierra Nevada', 'Angry Orchard'}","{'Unknown', 'Sierra Nevada', 'Angry Orchard'}","{'Unknown', 'Angry Orchard', 'Fat Tire', 'Sierra Nevada', 'Yuengling', 'Voodoo Ranger'}","[['Unknown', 'Angry Orchard', 'Angry Orchard', 'Angry Orchard'], ['Unknown', 'Fat Tire', 'Voodoo Ranger', 'Voodoo Ranger'], ['Sierra Nevada', 'Sierra Nevada', 'Sierra Nevada', 'Unknown'], ['Unknown', 'Unknown', 'Yuengling', 'Samuel Adams', 'Peroni']]",False
../photosv2/711_Sodas_Stickers.png,GPT-4,0.0545454545454545,0.1636363636363636,0.3571428571428571,correctBrands8,TODO,"{'Unknown', 'Dr Pepper', 'Dasani', 'Coca-Cola', 'Mountain Dew', 'Pepsi', 'A&W', 'Fanta'}","{'Mountain Dew', 'Sprite', 'Pepsi'}","{'Sprite', 'Coca-Cola', 'Mountain Dew', 'Pepsi', 'A&W', 'Fanta'}","{'Unknown', 'Dr Pepper', 'Dasani', 'Coca-Cola', 'Mountain Dew', 'Pepsi'}","[['Sprite', 'Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Pepsi', 'Unknown'], ['A&W', 'Dasani', 'Mountain Dew', 'Mountain Dew', 'Mountain Dew', 'Pepsi'], ['Mountain Dew', 'Pepsi', 'Dasani', 'Pepsi', 'Pepsi', 'Pepsi'], ['Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Pepsi'], ['Coca-Cola', 'Fanta', 'Unknown', 'Pepsi', 'Dr Pepper', 'Pepsi'], ['Mountain Dew', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Coca-Cola'], ['Mountain Dew', 'Pepsi', 'Pepsi', 'Pepsi', 'Coca-Cola', 'Coca-Cola']]",True
../photosv2/711_Sodas.png,GPT-4,0.4081632653061224,0.7142857142857143,0.4444444444444444,correctBrands9,TODO,"{'Unknown', 'Replenish', 'BodyArmor', 'Replenish Zero', 'Powerade', 'Gatorade Zero', 'Gatorade', 'Electrolit'}","{'Replenish', 'Gatorade'}","{'Replenish', 'BodyArmor', 'Replenish Zero', 'Powerade', 'Gatorade Zero', 'Gatorade'}","{'Unknown', 'Replenish', 'BodyArmor', 'Replenish Zero', 'Gatorade', 'Electrolit'}","[['Gatorade Zero', 'Gatorade Zero', 'Gatorade Zero', 'Electrolit', 'Electrolit', 'Electrolit'], ['BodyArmor', 'BodyArmor', 'BodyArmor', 'BodyArmor', 'Unknown', 'Unknown'], ['Replenish', 'Replenish', 'Replenish', 'Replenish', 'Replenish', 'Replenish'], ['Replenish Zero', 'Replenish Zero', 'Replenish Zero', 'Replenish Zero', 'Replenish Zero', 'Replenish Zero'], ['Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade'], ['Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade'], ['Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade'], ['Powerade', 'Powerade', 'Powerade', 'Powerade', 'Powerade', 'Powerade']]",True
